"Protein.IDs"	"Protein.names"	"Gene.names"	"Log2..UVC..UVC"	"p.Value.adjusted"	"ORF"
"P35194"	"UTP20"	"U3 small nucleolar RNA-associated protein 20"	1.10132071711225	0.0105719587336794	"YBL004W"
"P32377"	"MVD1"	"Diphosphomevalonate decarboxylase"	1.0990869926702	0.00922800042967652	"YNR043W"
"Q00955"	"ACC1"	"Acetyl-CoA carboxylase;Biotin carboxylase"	1.09845505416244	0.0109310833916995	"YNR016C"
"Q06053"	"DUS3"	"tRNA-dihydrouridine(47) synthase [NAD(P)(+)]"	1.0969859896457	0.0359673231710733	"YLR401C"
"P20449"	"DBP5"	"ATP-dependent RNA helicase DBP5"	1.09554497937787	0.023772861878416	"YOR046C"
"Q08971"	"YPL225W"	"Protein PBDC1 homolog"	1.09208889624419	0.00663687904908589	"YPL225W"
"P30771"	"NAM7"	"ATP-dependent helicase NAM7"	1.09149245944907	0.0072169393811709	"YMR080C"
"P07702"	"LYS2"	"L-aminoadipate-semialdehyde dehydrogenase"	1.07882867309839	0.0278761871818073	"YBR115C"
"P10869"	"HOM3"	"Aspartokinase"	1.07560312153918	0.00772317700418421	"YER052C"
"P33330"	"SER1"	"Phosphoserine aminotransferase"	1.07268987372432	0.0299937010691634	"YOR184W"
"P47117"	"ARP3"	"Actin-related protein 3"	1.07239597232733	0.0134598008942201	"YJR065C"
"P38626"	"CBR1"	"NADH-cytochrome b5 reductase 1"	1.07113110918686	0.0335344304743155	"YIL043C"
"P27929"	"NAM9"	"37S ribosomal protein NAM9, mitochondrial"	1.06643903657495	0.008068002181783	"YNL137C"
"P38879"	"EGD2"	"Nascent polypeptide-associated complex subunit alpha"	1.06184337083494	0.0151974537163208	"YHR193C"
"P39998"	"EDC3"	"Enhancer of mRNA-decapping protein 3"	1.06062471381089	0.00890524628565674	"YEL015W"
"P32381"	"ARP2"	"Actin-related protein 2"	1.05556297734092	0.0135800243857956	"YDL029W"
"P06780"	"RHO1"	"GTP-binding protein RHO1"	1.05203369713833	0.0208976222911575	"YPR165W"
"Q04894"	"ADH6"	"NADP-dependent alcohol dehydrogenase 6"	1.05160426313057	0.0100775799375717	"YMR318C"
"Q12458"	"YPR1"	"Putative reductase 1"	1.0514814158209	0.00994768811663849	"YDR368W"
"Q12167"	"RRG1"	"Required for respiratory growth protein 1, mitochondrial"	1.05025267978337	0.0289430294304789	"YDR065W"
"Q12154"	"GET3"	"ATPase GET3"	1.04723148408998	0.0197421935638265	"YDL100C"
"P39522"	"ILV3"	"Dihydroxy-acid dehydratase, mitochondrial"	1.04386057334007	0.0290993082645513	"YJR016C"
"P16550"	"APA1"	"Protein APA1;5,5-P-1,P-4-tetraphosphate phosphorylase;ADP-sulfurylase"	1.04347831976241	0.0265271634767147	"YCL050C"
"P07991"	"CAR2"	"Ornithine aminotransferase"	1.03962470360464	0.00966119638359965	"YLR438W"
"P38625"	"GUA1"	"GMP synthase [glutamine-hydrolyzing]"	1.03821957372943	0.01042800681836	"YMR217W"
"Q12487"	"MRPL23"	"54S ribosomal protein L23, mitochondrial"	1.0346283342904	0.00854380862722937	"YOR150W"
"P32770"	"NRP1"	"Asparagine-rich protein"	1.03198199362028	0.0138882888698104	"YDL167C"
"P38115"	"ARA1"	"D-arabinose dehydrogenase [NAD(P)+] heavy chain"	1.02952902039797	0.0112895813007273	"YBR149W"
"P53691"	"CPR6"	"Peptidyl-prolyl cis-trans isomerase CPR6"	1.0268459138965	0.00848043493555174	"YLR216C"
"P07259"	"URA2"	"Protein URA2;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase"	1.02384886413676	0.0120672800553993	"YJL130C"
"P38555"	"YPT31"	"GTP-binding protein YPT31/YPT8"	1.01998755816315	0.0373002179237569	"YER031C"
"P32074"	"SEC21"	"Coatomer subunit gamma"	1.0108854471704	0.0184634787499228	"YNL287W"
"P54783"	"ALO1"	"D-arabinono-1,4-lactone oxidase"	1.01017858677448	0.011734493995514	"YML086C"
"P35844"	"KES1"	"Protein KES1"	1.00983268891794	0.0152264573452702	"YPL145C"
"P40054"	"SER3;SER33"	"D-3-phosphoglycerate dehydrogenase 1;D-3-phosphoglycerate dehydrogenase 2"	1.00962643980497	0.0110548688112183	"YER081W"
"P43593"	"UBP6"	"Ubiquitin carboxyl-terminal hydrolase 6"	1.00936898688001	0.0120239722697084	"YFR010W"
"P02992"	"TUF1"	"Elongation factor Tu, mitochondrial"	1.00842389409802	0.0128940204246314	"YOR187W"
"Q02908"	"ELP3"	"Elongator complex protein 3"	1.00703299039616	0.00984596195895248	"YPL086C"
"P32476"	"ERG1"	"Squalene monooxygenase"	1.00273836483135	0.0223306389679277	"YGR175C"
"P09938"	"RNR2"	"Ribonucleoside-diphosphate reductase small chain 1"	0.999870525839151	0.0151974537163208	"YJL026W"
"Q12447"	"PAA1"	"Polyamine N-acetyltransferase 1"	0.997436417993674	0.0128940204246314	"YDR071C"
"P43321"	"SMD3"	"Small nuclear ribonucleoprotein Sm D3"	0.996807926554184	0.0134586892514128	"YLR147C"
"P38891"	"BAT1"	"Branched-chain-amino-acid aminotransferase, mitochondrial"	0.995956589132673	0.0107229844217106	"YHR208W"
"P53254"	"UTP22"	"U3 small nucleolar RNA-associated protein 22"	0.992524926206329	0.0199702224803679	"YGR090W"
"P53927"	"NOP15"	"Ribosome biogenesis protein 15"	0.988482738646058	0.0205867067248127	"YNL110C"
"P38174"	"MAP2"	"Methionine aminopeptidase 2"	0.987868842636435	0.012786825670435	"YBL091C"
"P47075"	"VTC4"	"Vacuolar transporter chaperone 4"	0.986218215512954	0.0435777223681592	"YJL012C"
"P47912"	"FAA4"	"Long-chain-fatty-acid--CoA ligase 4"	0.98190910756313	0.0139312550079075	"YMR246W"
"Q12122"	"LYS21"	"Homocitrate synthase, mitochondrial"	0.980104693434882	0.0174717639498801	"YDL131W"
"P25694"	"CDC48"	"Cell division control protein 48"	0.977331037902135	0.0222014954817792	"YDL126C"
"P16140"	"VMA2"	"V-type proton ATPase subunit B"	0.976351008734271	0.0268587549138131	"YBR127C"
"P10592"	"SSA2"	"Heat shock protein SSA2"	0.97525811686607	0.0138760798664846	"YLL024C"
"P32366"	"VMA6"	"V-type proton ATPase subunit d"	0.974565195512876	0.0451083641387731	"YLR447C"
"P02994"	"TEF1"	"Elongation factor 1-alpha"	0.973017813704898	0.0208005649979113	"YPR080W"
"P32179"	"MET22"	"3(2),5-bisphosphate nucleotidase"	0.972438322263353	0.032152833141903	"YOL064C"
"P51601"	"FOL2"	"GTP cyclohydrolase 1"	0.971398521745686	0.0402216494968142	"YGR267C"
"Q12109"	"WRS1"	"Tryptophan--tRNA ligase, cytoplasmic"	0.969138261282675	0.0137654374821003	"YOL097C"
"P06169"	"PDC1"	"Pyruvate decarboxylase isozyme 1"	0.968016905254609	0.0257224922077415	"YLR044C"
"Q02648"	"TRM44"	"tRNA (uracil-O(2)-)-methyltransferase"	0.966068359715613	0.0110858892744096	"YPL030W"
"Q99257"	"MEX67"	"mRNA export factor MEX67"	0.965331676544413	0.0110858892744096	"YPL169C"
"P08417"	"FUM1"	"Fumarate hydratase, mitochondrial"	0.964550979866148	0.0116772888837063	"YPL262W"
"P25384"	"TY2B-C;TY2B-GR1;TY2B-GR2;TY2B-F;TY2B-B;TY2B-DR1;TY2B-LR1;TY2A-DR3;TY2A-C;TY2A-GR2;TY2A-F;TY2A-DR1;TY2A-LR1;TY2A-GR1;TY2A-B;TY2B-OR1;TY2B-DR2;TY2B-OR2;TY2B-LR2;TY2A-OR1;TY2A-DR2;TY2A-LR2;TY2A-OR2"	"Transposon Ty2-C Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-GR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-GR2 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-F Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-B Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-DR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-LR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-DR3 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-C Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-GR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-F Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-DR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-LR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-GR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-B Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-OR1 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-DR2 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-OR2 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-LR2 Gag-Pol polyprotein;Capsid protein;Ty2 protease;Integrase;Reverse transcriptase/ribonuclease H;Transposon Ty2-OR1 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-DR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-LR2 Gag polyprotein;Capsid protein;Gag-p4;Transposon Ty2-OR2 Gag polyprotein;Capsid protein;Gag-p4"	0.964079433439414	0.015434928413075	""
"P18759"	"SEC18"	"Vesicular-fusion protein SEC18"	0.962741243986362	0.0438704132707566	"YBR080C"
"P21576"	"VPS1"	"Vacuolar protein sorting-associated protein 1"	0.962100163191871	0.0222014954817792	"YKR001C"
"P39940"	"RSP5"	"E3 ubiquitin-protein ligase RSP5"	0.959949441818644	0.023772861878416	"YER125W"
"P39078"	"CCT4"	"T-complex protein 1 subunit delta"	0.959831517704462	0.0208005649979113	"YDL143W"
"P38998"	"LYS1"	"Saccharopine dehydrogenase [NAD(+), L-lysine-forming]"	0.950779917518955	0.0242437259703505	"YIR034C"
"P38120"	"MRPS9"	"37S ribosomal protein S9, mitochondrial"	0.949840777721805	0.03555511889485	"YBR146W"
"P47079"	"CCT8"	"T-complex protein 1 subunit theta"	0.949045350602512	0.0125176993002498	"YJL008C"
"Q08179"	"MDM38"	"Mitochondrial distribution and morphology protein 38"	0.946922798286192	0.014893621292494	"YOL027C"
"P48570"	"LYS21;LYS20"	"Homocitrate synthase, mitochondrial;Homocitrate synthase, cytosolic isozyme"	0.946003395678773	0.0323221063070658	"YDL182W"
"P49090"	"ASN2"	"Asparagine synthetase [glutamine-hydrolyzing] 2"	0.945098095972359	0.0402592576480446	"YGR124W"
"P40069"	"KAP123"	"Importin subunit beta-4"	0.934876091281461	0.0419987504536103	"YER110C"
"P41277"	"GPP1"	"Glycerol-1-phosphate phosphohydrolase 1"	0.931338191443821	0.0199702224803679	"YIL053W"
"P32589"	"SSE1"	"Heat shock protein homolog SSE1"	0.929345647364258	0.0242437259703505	"YPL106C"
"P39533"	"ACO2"	"Homocitrate dehydratase, mitochondrial"	0.928002913331452	0.0216463781005169	"YJL200C"
"P40185"	"MMF1"	"Protein MMF1, mitochondrial"	0.925847347005635	0.0465314924644092	"YIL051C"
"P00549"	"CDC19"	"Pyruvate kinase 1"	0.918348777429729	0.0299736445236687	"YAL038W"
"P02557"	"TUB2"	"Tubulin beta chain"	0.912970724125456	0.0227105289942663	"YFL037W"
"Q12272"	"TPT1"	"tRNA 2-phosphotransferase"	0.907512991681588	0.0184294546463808	"YOL102C"
"P14020"	"DPM1"	"Dolichol-phosphate mannosyltransferase"	0.906041668212264	0.0218793181471444	"YPR183W"
"Q08723"	"RPN8"	"26S proteasome regulatory subunit RPN8"	0.902444809378457	0.0384362925611312	"YOR261C"
"P32449"	"ARO4"	"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited"	0.900795144618005	0.0290993082645513	"YBR249C"
"P28000"	"RPC19"	"DNA-directed RNA polymerases I and III subunit RPAC2"	0.896743867584666	0.0199702224803679	"YNL113W"
"P53166"	"MRH4"	"ATP-dependent RNA helicase MRH4, mitochondrial"	0.893823361284579	0.0204496317359018	"YGL064C"
"P07703"	"RPC40"	"DNA-directed RNA polymerases I and III subunit RPAC1"	0.88935111943802	0.0160852571114937	"YPR110C"
"P38765"	"YHI9"	"Uncharacterized isomerase YHI9"	0.887884919512564	0.0199973602892272	"YHR029C"
"P36013"	"MAE1"	"NAD-dependent malic enzyme, mitochondrial"	0.881645133642475	0.0199743889317174	"YKL029C"
"P08524"	"ERG20"	"Farnesyl pyrophosphate synthase"	0.876760513917879	0.0443046323141737	"YJL167W"
"P32861"	"UGP1"	"UTP--glucose-1-phosphate uridylyltransferase"	0.875215051214366	0.0234825525492464	"YKL035W"
"P21771"	"MRPS28"	"37S ribosomal protein S28, mitochondrial"	0.874528756953421	0.032152833141903	"YDR337W"
"P39076"	"CCT2"	"T-complex protein 1 subunit beta"	0.874025525861953	0.0261638943449862	"YIL142W"
"P35197"	"GCS1"	"ADP-ribosylation factor GTPase-activating protein GCS1"	0.873363389450834	0.0205752980416146	"YDL226C"
"P29547"	"CAM1"	"Elongation factor 1-gamma 1"	0.873047741126516	0.0273387318323105	"YPL048W"
"P40531"	"GVP36"	"Protein GVP36"	0.869755064308646	0.0199702224803679	"YIL041W"
"P39936"	"TIF4632"	"Eukaryotic initiation factor 4F subunit p130"	0.864820876802254	0.0447538365012359	"YGL049C"
"P38882"	"UTP9"	"U3 small nucleolar RNA-associated protein 9"	0.861301726309841	0.0309743150577732	"YHR196W"
"P13663"	"HOM2"	"Aspartate-semialdehyde dehydrogenase"	0.853788032690061	0.033666533323816	"YDR158W"
"P18562"	"FUR1"	"Uracil phosphoribosyltransferase"	0.851631987970482	0.0441881414720816	"YHR128W"
"P15705"	"STI1"	"Heat shock protein STI1"	0.849697256226494	0.0206773125678668	"YOR027W"
"P12709"	"PGI1"	"Glucose-6-phosphate isomerase"	0.844943535990076	0.0341505585925973	"YBR196C"
"P34241"	"URB1"	"Nucleolar pre-ribosomal-associated protein 1"	0.842404355726344	0.0258797685976743	"YKL014C"
"P30624"	"FAA1;FAA3"	"Long-chain-fatty-acid--CoA ligase 1;Long-chain-fatty-acid--CoA ligase 3"	0.836064296896689	0.0250776889629708	"YOR317W"
"P11745"	"RNA1"	"Ran GTPase-activating protein 1"	0.832564596306524	0.0299736445236687	"YMR235C"
"P36048"	"SNU114"	"Pre-mRNA-splicing factor SNU114"	0.832521117095413	0.032152833141903	"YKL173W"
"P39101"	"CAJ1"	"Protein CAJ1"	0.829253430252838	0.0261638943449862	"YER048C"
"P33734"	"HIS7"	"Imidazole glycerol phosphate synthase hisHF;Glutamine amidotransferase;Cyclase"	0.825375876747628	0.0443386847904227	"YBR248C"
"Q06146"	"YLR257W"	"Uncharacterized protein YLR257W"	0.82389265632811	0.0473844323200075	"YLR257W"
"Q06440"	"CRN1"	"Coronin-like protein"	0.817426594307269	0.0441881414720816	"YLR429W"
"Q12375"	"ORT1"	"Mitochondrial ornithine transporter 1"	0.811239244852249	0.039887291940334	"YOR130C"
"P06101"	"CDC37"	"Hsp90 co-chaperone Cdc37"	0.803560504731278	0.0468219513514559	"YDR168W"
"P39935"	"TIF4631;TIF4632"	"Eukaryotic initiation factor 4F subunit p150;Eukaryotic initiation factor 4F subunit p130"	0.801249765058997	0.0256623245838168	"YGR162W"
"Q02773"	"RPM2"	"Ribonuclease P protein component, mitochondrial"	0.800439509608194	0.0250805342418682	"YML091C"
"P40462"	"TMA108"	"Protein TMA108"	0.799207591578723	0.0324511653341365	"YIL137C"
"P32454"	"APE2"	"Aminopeptidase 2, mitochondrial"	0.794899327141408	0.0302958367562517	"YKL157W"
"P39954"	"SAH1"	"Adenosylhomocysteinase"	0.792085610267039	0.0412702373296017	"YER043C"
"P40991"	"NOP2"	"25S rRNA (cytosine(2870)-C(5))-methyltransferase"	0.790434424899959	0.0485059155853984	"YNL061W"
"P32901"	"PTR2"	"Peptide transporter PTR2"	0.790044690411886	0.0471929984851246	"YKR093W"
"P38295"	"EHT1"	"Medium-chain fatty acid ethyl ester synthase/esterase 2"	0.787733575304943	0.0453358540324119	"YBR177C"
"P16603"	"NCP1"	"NADPH--cytochrome P450 reductase"	0.787528455298324	0.0418510268176804	"YHR042W"
"P00447"	"SOD2"	"Superoxide dismutase [Mn], mitochondrial"	0.787156272441105	0.035026943610387	"YHR008C"
"P31412"	"VMA5"	"V-type proton ATPase subunit C"	0.784162201210126	0.0276330544932651	"YKL080W"
"P17709"	"GLK1;EMI2"	"Glucokinase-1;Putative glucokinase-2"	0.780283027673962	0.0453133513432072	"YCL040W"
"P15454"	"GUK1"	"Guanylate kinase"	0.778232302243623	0.049399058591882	"YDR454C"
"P34760"	"TSA1"	"Peroxiredoxin TSA1"	0.77162698155192	0.0435777223681592	"YML028W"
"P22803"	"TRX2"	"Thioredoxin-2"	0.766756547290825	0.036418678658677	"YGR209C"
"P47096"	"BNA1"	"3-hydroxyanthranilate 3,4-dioxygenase"	0.76632925750862	0.0319445725672052	"YJR025C"
"Q86ZR7"	"YKL033W-A"	"Putative uncharacterized hydrolase YKL033W-A"	0.761309011514405	0.0387370673169283	"YKL033W-A"
"P06168"	"ILV5"	"Ketol-acid reductoisomerase, mitochondrial"	0.757697788153153	0.0406311201869199	"YLR355C"
"P36018"	"YPT52"	"GTP-binding protein YPT52"	0.756276114186931	0.0367888475577315	"YKR014C"
"Q08960"	"TYW1"	"S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase"	0.755633483551485	0.036298343481401	"YPL207W"
"P01120"	"RAS2"	"Ras-like protein 2"	0.745054836992978	0.0357277901173874	"YNL098C"
"P31688"	"TPS2"	"Trehalose-phosphatase"	0.741711228392117	0.0352512243073131	"YDR074W"
"Q07381"	"TSR1"	"Ribosome biogenesis protein TSR1"	0.741617784279916	0.0334843924556421	"YDL060W"
"P15108"	"HSP82;HSC82"	"ATP-dependent molecular chaperone HSP82;ATP-dependent molecular chaperone HSC82"	0.740422416713735	0.0488000214947276	"YMR186W"
"P47160"	"ENT3"	"Epsin-3"	0.736214820111514	0.0357277901173874	"YJR125C"
"P47039"	"BNA3"	"Probable kynurenine--oxoglutarate transaminase BNA3"	0.732294860643534	0.0351308992614084	"YJL060W"
"Q99383"	"HRP1"	"Nuclear polyadenylated RNA-binding protein 4"	0.730990332099647	0.0429476216202354	"YOL123W"
"P34730"	"BMH2"	"Protein BMH2"	0.730763761066201	0.0471929984851246	"YDR099W"
"P12612"	"TCP1"	"T-complex protein 1 subunit alpha"	0.716725298675509	0.0460162930968935	"YDR212W"
"P25623"	"SYP1"	"Suppressor of yeast profilin deletion"	0.716218589537547	0.0456556302176213	"YCR030C"
"Q12019"	"MDN1"	"Midasin"	0.711269094663556	0.041921151670292	"YLR106C"
"P00890"	"CIT1"	"Citrate synthase, mitochondrial"	0.705668702761179	0.041921151670292	"YNR001C"
"P50107"	"GLO1"	"Lactoylglutathione lyase"	0.705394755181451	0.0473343432450967	"YML004C"
"P38845"	"CRP1"	"Cruciform DNA-recognizing protein 1;CRP1 short N-terminal subpeptide;CRP1 short C-terminal subpeptide"	0.69936262463504	0.0443386847904227	"YHR146W"
"P32599"	"SAC6"	"Fimbrin"	0.68114319497085	0.0488905333342307	"YDR129C"
"Q05468"	"RQC1"	"Ribosome quality control complex subunit 1"	0.669336265377504	0.0493302075974553	"YDR333C"
