Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides YAL6Bproteome	Razor + unique peptides YAL6Bproteome	Unique peptides YAL6Bproteome	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Q-value	Score	Sequence coverage YAL6Bproteome [%]	Intensity	Intensity YAL6Bproteome	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
YJL155C	YJL155C	8	8	8	>YJL155C pep:known chromosome:R64-1-1:X:129285:130643:-1 gene:YJL155C transcript:YJL155C description:Fructose-2,6-bisphosphatase, required for glucose metabolism	1	8	8	8	8	8	8	22.1	22.1	22.1	52.594	452	452	4.89				1	8				0	56.758	22.1	449400000	449400000	9				1864	1224;4372;9225;10844;13206;14874;16159;22249	True;True;True;True;True;True;True;True	1310;4592;9654;11347;13792;15524;16872;23392	3910;12481;12482;25905;30782;37278;41610;45088;61044	4597;14259;14260;29439;35373;42669;47396;51296;69043	4597;14260;29439;35373;42669;47396;51296;69043		
YJL156C	YJL156C	2	2	2	>YJL156C pep:known chromosome:R64-1-1:X:126853:128952:-1 gene:YJL156C transcript:YJL156C description:Serine protease of SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p)\x3b contains an inhibitory domain that dissociates in response to extr	1	2	2	2	2	2	2	3.4	3.4	3.4	77.526	699	699	3			2						0	4.4391	3.4	16304000	16304000	2				1865	10808;17011	True;True	11310;17753	30679;47566	35258;54157	35258;54157		
YJL157C	YJL157C	3	3	3	>YJL157C pep:known chromosome:R64-1-1:X:123836:126328:-1 gene:YJL157C transcript:YJL157C description:Cyclin-dependent kinase inhibitor that mediates cell cycle arrest in response to pheromone\x3b also forms a complex with Cdc24p, Ste4p, and Ste18p that ma	1	3	3	3	3	3	3	3.7	3.7	3.7	94.571	830	830	6.67						2		1	0	5.1113	3.7	29344000	29344000	3				1866	10397;10517;25533	True;True;True	10890;11013;26832	29712;29972;70144	34201;34475;79327	34201;34475;79327		
YJL158C	YJL158C	2	2	2	>YJL158C pep:known chromosome:R64-1-1:X:122265:122948:-1 gene:YJL158C transcript:YJL158C description:Mannose-containing glycoprotein constituent of the cell wall\x3b member of the PIR (proteins with internal repeats) family	1	2	2	2	2	2	2	7.9	7.9	7.9	23.241	227	227	5.67				2	1	1	1	1	0.0046056	1.8188	7.9	303160000	303160000	6				1867	2829;19247	True;True	2988;20259	8578;53303;53304;53305;53306;53307	9870;60476;60477;60478;60479;60480	9870;60480		
YKL164C;YJL159W	YKL164C;YJL159W	2;2	2;2	2;2	>YKL164C pep:known chromosome:R64-1-1:XI:141794:142819:-1 gene:YKL164C transcript:YKL164C description:O-glycosylated protein required for cell wall stability\x3b attached to the cell wall via beta-1,3-glucan\x3b mediates mitochondrial translocation of Apn	2	2	2	2	2	2	2	19.1	19.1	19.1	34.621	341	341;413	5.33	1						1	1	0	19.427	19.1	141300000	141300000	3				1868	8345;26625	True;True	8723;27988	23289;23290;73386	26400;26401;82977	26401;82977		
YJL164C	YJL164C	4	2	2	>YJL164C pep:known chromosome:R64-1-1:X:109966:111159:-1 gene:YJL164C transcript:YJL164C description:cAMP-dependent protein kinase catalytic subunit\x3b promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway\x3b inhibited b	1	4	2	2	4	2	2	14.1	7.6	7.6	46.075	397	397	4.5				1	1				0.0023648	2.1954	14.1	35099000	35099000	2				1869	2965;11366;20417;24148	False;True;True;False	3127;11882;21489;25383	8898;8899;32259;56153;66245;66246	10232;10233;36985;63570;74929;74930	10233;36985;63570;74929		
YJL165C	YJL165C	12	12	12	>YJL165C pep:known chromosome:R64-1-1:X:106894:109461:-1 gene:YJL165C transcript:YJL165C description:Putative protein kinase\x3b overexpression increases sodium and lithium tolerance, whereas gene disruption increases cation and low pH sensitivity and imp	1	12	12	12	12	12	12	16.1	16.1	16.1	95.454	855	855	6.61						7	11		0	58.304	16.1	721430000	721430000	18				1870	449;576;2179;4817;7465;10136;15028;16498;18516;19279;23329;24291	True;True;True;True;True;True;True;True;True;True;True;True	480;612;2317;5050;7809;10619;15688;17229;19493;20291;24525;25527	1454;1895;7031;13717;13718;20924;20925;28864;28865;42087;46112;46113;51423;51424;53357;64190;66599;66600	1837;2362;8189;15706;15707;23821;23822;33155;33156;47942;52482;52483;58321;58322;60530;72673;75344;75345	1837;2362;8189;15707;23821;33156;47942;52482;58321;60530;72673;75345		
YJL166W	YJL166W	1	1	1	>YJL166W pep:known chromosome:R64-1-1:X:106434:106718:1 gene:YJL166W transcript:YJL166W description:Subunit 8 of ubiquinol cytochrome-c reductase complex, which is a component of the mitochondrial inner membrane electron transport chain\x3b oriented facin	1	1	1	1	1	1	1	13.8	13.8	13.8	10.974	94	94	1	2								0.00090634	2.5353	13.8	151160000	151160000	2				1871	26964	True	28351	74416;74417	84143;84144	84144		
YJL167W	YJL167W	18	18	18	>YJL167W pep:known chromosome:R64-1-1:X:105014:106072:1 gene:YJL167W transcript:YJL167W description:Farnesyl pyrophosphate synthetase, has both dimethylallyltranstransferase and geranyltranstransferase activities\x3b catalyzes the formation of C15 farnesy	1	18	18	18	18	18	18	55.7	55.7	55.7	40.483	352	352	4.08	5	14	27	25	18	6	7	7	0	323.31	55.7	62165000000	62165000000	126				1872	262;911;2285;4172;5020;10048;10651;10908;12152;13010;15781;16800;23214;23443;25872;25873;26785;28298	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	285;973;2428;4386;5263;10529;11150;11412;12706;13592;16480;17535;24405;24645;27191;27192;28164;29754	869;870;871;872;873;2853;2854;2855;2856;2857;2858;2859;2860;2861;2862;2863;2864;2865;7247;7248;7249;11872;11873;11874;11875;11876;11877;11878;14304;14305;14306;14307;14308;14309;14310;14311;28654;30285;30286;30287;30288;30289;30290;30291;30292;30293;30294;30295;30980;30981;30982;30983;30984;30985;30986;30987;34347;34348;34349;34350;34351;34352;34353;34354;34355;34356;34357;36814;36815;36816;44111;44112;44113;44114;44115;46955;46956;46957;46958;46959;63653;63654;63655;63656;63657;63658;64535;64536;64537;64538;64539;64540;64541;71231;71232;71233;71234;71235;71236;71237;71238;73812;73813;73814;73815;73816;73817;78352;78353	1174;1175;1176;1177;1178;3400;3401;3402;3403;3404;3405;3406;3407;3408;3409;3410;3411;3412;3413;3414;3415;8422;8423;8424;8425;13559;13560;13561;13562;13563;13564;13565;16335;16336;16337;16338;16339;16340;16341;16342;16343;32922;34822;34823;34824;34825;34826;34827;34828;34829;34830;34831;34832;34833;34834;34835;34836;34837;35594;35595;35596;35597;35598;35599;35600;35601;39337;39338;39339;39340;39341;39342;39343;39344;39345;39346;39347;39348;42166;42167;42168;50175;50176;50177;50178;50179;53476;53477;53478;53479;53480;71949;71950;71951;71952;71953;71954;73092;73093;73094;73095;73096;73097;73098;73099;73100;80575;80576;80577;80578;80579;80580;80581;80582;80583;83439;83440;83441;83442;83443;83444;83445;83446;83447;88729;88730	1176;3402;8422;13563;16335;32922;34829;35597;39342;42167;50178;53478;71949;73099;80575;80580;83442;88730		
YJL168C	YJL168C	18	18	18	>YJL168C pep:known chromosome:R64-1-1:X:102227:104428:-1 gene:YJL168C transcript:YJL168C description:Histone methyltransferase with a role in transcriptional elongation, methylates a lysine residue of histone H3\x3b associates with the C-terminal domain o	1	18	18	18	18	18	18	30.3	30.3	30.3	84.46	733	733	6.25					1	16	7		0	53.255	30.3	1625400000	1625400000	22				1873	3761;4674;6772;6814;7402;8475;9093;14591;19870;19930;20805;21592;21596;23491;24840;26244;26887;27483	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	3957;4902;7087;7132;7744;8860;9511;15224;20921;20983;21889;22706;22710;24695;26103;27590;28271;28898	10803;13291;13292;19043;19044;19161;19162;20746;23701;25567;40690;54865;55022;57143;59319;59326;64667;68115;68116;72242;74148;74149;75901;75902	12304;15168;15169;21695;21696;21819;21820;23602;26869;29081;46372;62182;62349;64632;67076;67084;73234;77054;77055;81693;83834;83835;85856;85857	12304;15168;21695;21819;23602;26869;29081;46372;62182;62349;64632;67076;67084;73234;77055;81693;83835;85856		
YJL170C	YJL170C	1	1	1	>YJL170C pep:known chromosome:R64-1-1:X:101150:101779:-1 gene:YJL170C transcript:YJL170C description:Protein that regulates signaling from a G protein beta subunit Ste4p and its relocalization within the cell\x3b specific to a-cells and induced by alpha-f	1	1	1	1	1	1	1	4.8	4.8	4.8	24.945	209	209	2		1							0.0009434	3.2813	4.8	27801000	27801000	1				1874	26666	True	28032	73468	83059	83059		
YJL171C	YJL171C	4	4	4	>YJL171C pep:known chromosome:R64-1-1:X:99704:100894:-1 gene:YJL171C transcript:YJL171C description:GPI-anchored cell wall protein of unknown function\x3b induced in response to cell wall damaging agents and by mutations in genes involved in cell wall bio	1	4	4	4	4	4	4	17.2	17.2	17.2	42.957	396	396	6.7						4	5	1	0	69.079	17.2	1839000000	1839000000	9				1875	8026;14196;17315;17909	True;True;True;True	8391;14815;18108;18863	22474;22475;22476;39804;39805;48343;48344;50011;50012;50013	25529;25530;25531;45418;45419;54995;54996;56800;56801;56802	25529;45418;54995;56800		
YJL172W	YJL172W	10	10	10	>YJL172W pep:known chromosome:R64-1-1:X:97737:99467:1 gene:YJL172W transcript:YJL172W description:Vacuolar carboxypeptidase yscS\x3b expression is induced under low-nitrogen conditions	1	10	10	10	10	10	10	24.7	24.7	24.7	64.596	576	576	5.74		1	1	1	12	11	6	3	0	63.309	24.7	11478000000	11478000000	42				1876	1184;3949;7425;8863;9634;10641;16442;19010;25737;29739	True;True;True;True;True;True;True;True;True;True	1268;4154;7769;9269;10090;11140;17171;20018;27049;31271	3777;3778;11247;11248;11249;11250;20812;20813;24781;24782;24783;24784;27354;27355;27356;27357;27358;27359;27360;30263;30264;45916;45917;45918;45919;45920;52680;52681;52682;70837;70838;70839;70840;70841;82852	4442;4443;12790;12791;12792;12793;23681;23682;23683;28095;28096;28097;28098;31411;31412;31413;31414;31415;31416;31417;34800;34801;52224;52225;52226;52227;52228;52229;52230;52231;52232;59744;59745;59746;59747;59748;80152;80153;80154;80155;80156;93975	4442;12792;23681;28096;31417;34800;52226;59746;80156;93975		
YJL173C	YJL173C	2	2	2	>YJL173C pep:known chromosome:R64-1-1:X:96161:96529:-1 gene:YJL173C transcript:YJL173C description:Subunit of heterotrimeric Replication Protein A (RPA), which is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, 	1	2	2	2	2	2	2	36.9	36.9	36.9	13.816	122	122	1	2								0	144.51	36.9	459300000	459300000	2				1877	1598;24137	True;True	1709;25371	5162;66223	5988;74907	5988;74907		
YJL174W	YJL174W	2	2	2	>YJL174W pep:known chromosome:R64-1-1:X:95092:95922:1 gene:YJL174W transcript:YJL174W description:Glycoprotein involved in cell wall beta-glucan assembly\x3b null mutation leads to severe growth defects, aberrant multibudded morphology, and mating defects	1	2	2	2	2	2	2	6.9	6.9	6.9	29.988	276	276	3.6	1	1		1	1	1			0.0009311	3.0372	6.9	654950000	654950000	5				1878	12320;21704	True;True	12878;22826	34752;34753;34754;34755;59681	39773;39774;39775;39776;67518	39773;67518		
YJL176C	YJL176C	13	13	13	>YJL176C pep:known chromosome:R64-1-1:X:92053:94530:-1 gene:YJL176C transcript:YJL176C description:Subunit of the SWI/SNF chromatin remodeling complex, which regulates transcription by remodeling chromosomes\x3b required for transcription of many genes, i	1	13	13	13	13	13	13	20.1	20.1	20.1	92.925	825	825	6.89						2	16		0	140.38	20.1	997480000	997480000	17				1879	4486;4523;4524;7286;8502;10984;11278;12481;17533;20229;23824;23989;29381	True;True;True;True;True;True;True;True;True;True;True;True;True	4711;4749;4750;7621;8888;11489;11790;13043;18400;21294;25044;25218;30893	12749;12853;12854;12855;12856;20460;20461;23787;31176;31978;31979;31980;35259;48947;55769;65501;65858;81766	14542;14659;14660;14661;14662;23248;23249;26966;35801;36679;36680;36681;40353;55644;63168;74128;74515;92739	14542;14660;14662;23249;26966;35801;36681;40353;55644;63168;74128;74515;92739		
YJL177W	YJL177W	10	10	1	>YJL177W pep:known chromosome:R64-1-1:X:90786:91657:1 gene:YJL177W transcript:YJL177W description:Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl17Ap and has similarity to E. coli L22 and rat L17 ribosomal proteins	1	10	10	1	10	10	1	76.6	76.6	15.2	20.551	184	184	3.38	13	30	16	11	7	5	4	7	0	277.76	76.6	95988000000	95988000000	120				1880	1572;4475;7851;17160;17193;19433;22611;28972;29570;29907	True;True;True;True;True;True;True;True;True;True	1681;1682;4700;8210;17905;17947;20452;23768;30461;31090;31444	5053;5054;5055;5056;5057;5058;5059;5060;5061;5062;5063;5064;5065;5066;5067;5068;5069;5070;5071;5072;5073;5074;5075;5076;5077;5078;5079;5080;5081;12733;21956;21957;21958;21959;21960;21961;21962;21963;21964;21965;21966;21967;21968;21969;47905;47906;47907;47908;47909;47910;47911;47912;47913;47914;47915;47916;47917;47918;47919;48005;53721;53722;53723;53724;53725;53726;53727;53728;53729;62046;62047;62048;80487;80488;82344;82345;82346;82347;82348;82349;82350;82351;82352;82353;82354;82355;82356;82357;82358;83305;83306;83307;83308	5865;5866;5867;5868;5869;5870;5871;5872;5873;5874;5875;5876;5877;5878;5879;5880;5881;5882;5883;5884;5885;5886;5887;5888;5889;5890;5891;5892;5893;5894;5895;5896;5897;5898;5899;14526;24972;24973;24974;24975;24976;24977;24978;24979;24980;24981;24982;24983;24984;24985;24986;24987;54536;54537;54538;54539;54540;54541;54542;54543;54544;54545;54546;54547;54548;54549;54550;54551;54552;54553;54640;60926;60927;60928;60929;60930;60931;60932;60933;60934;60935;60936;70195;70196;70197;70198;91228;91229;93406;93407;93408;93409;93410;93411;93412;93413;93414;93415;93416;93417;93418;93419;93420;93421;93422;93423;93424;93425;93426;93427;93428;93429;93430;93431;93432;93433;93434;93435;93436;94462;94463;94464;94465	5884;14526;24987;54545;54640;60927;70195;91229;93416;94463		
YJL178C	YJL178C	9	9	9	>YJL178C pep:known chromosome:R64-1-1:X:89282:90097:-1 gene:YJL178C transcript:YJL178C description:Type I membrane protein involved in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway\x3b may be involved in membrane delivery to the phagophor	1	9	9	9	9	9	9	41.7	41.7	41.7	30.201	271	271	2.42		7	5						0	59.317	41.7	584480000	584480000	12				1881	2377;7670;8011;8875;13346;14404;18464;19812;23399	True;True;True;True;True;True;True;True;True	2523;8022;8376;9281;13937;15032;19439;20859;24601	7464;21500;22413;22414;24821;37592;40283;40284;51293;54716;54717;64370	8663;24459;25460;25461;28141;43003;45936;45937;58185;62021;62022;72871	8663;24459;25461;28141;43003;45937;58185;62022;72871		
YJL179W	YJL179W	3	3	3	>YJL179W pep:known chromosome:R64-1-1:X:88787:89116:1 gene:YJL179W transcript:YJL179W description:Subunit of heterohexameric prefoldin, which binds cytosolic chaperonin and transfers target proteins to it\x3b involved in the biogenesis of actin and of alp	1	3	3	3	3	3	3	32.1	32.1	32.1	12.782	109	109	1	3								0	9.0939	32.1	502060000	502060000	3				1882	5191;19648;30463	True;True;True	5441;20682;32021	14759;54308;84806	16843;61593;96155	16843;61593;96155		
YJL180C	YJL180C	8	8	8	>YJL180C pep:known chromosome:R64-1-1:X:87583:88560:-1 gene:YJL180C transcript:YJL180C description:Conserved protein required for assembly of alpha and beta subunits into the F1 sector of mitochondrial F1F0 ATP synthase\x3b mutation of human ATP12 reduces	1	8	8	8	8	8	8	34.8	34.8	34.8	36.554	325	325	3			10						0	30.626	34.8	415870000	415870000	9				1883	8745;10301;10987;10988;22990;25264;28608;29160	True;True;True;True;True;True;True;True	9142;10791;11492;11493;24171;26549;30073;30658	24439;29364;31180;31181;31182;63140;69370;79303;79304;81147	27677;33741;35805;35806;35807;71396;78445;89827;89828;92076	27677;33741;35805;35807;71396;78445;89827;92076		
YJL183W	YJL183W	5	5	5	>YJL183W pep:known chromosome:R64-1-1:X:84068:85336:1 gene:YJL183W transcript:YJL183W description:Subunit of a Golgi mannosyltransferase complex that also contains Anp1p, Mnn9p, Mnn10p, and Hoc1p, and mediates elongation of the polysaccharide mannan backb	1	5	5	5	5	5	5	16.1	16.1	16.1	47.858	422	422	3.78	1			7	1				0	18.167	16.1	910180000	910180000	9				1884	972;8035;10049;26642;26967	True;True;True;True;True	1039;8401;10530;28007;28354	3085;22507;28655;28656;28657;28658;73415;74423;74424	3661;25565;32923;32924;32925;32926;83006;84151;84152	3661;25565;32924;83006;84152		
YJL186W	YJL186W	15	15	15	>YJL186W pep:known chromosome:R64-1-1:X:80155:81915:1 gene:YJL186W transcript:YJL186W description:Alpha-1,2-mannosyltransferase, responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, lo	1	15	15	15	15	15	15	42	42	42	67.204	586	586	6.19					3	20	9		0	202.56	42	3223600000	3223600000	33				1885	1221;5938;8577;10156;14266;14842;16209;17429;18886;21415;22381;26861;27430;28264;30357	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1307;6223;8965;10640;14890;15490;16924;18260;18261;19892;22524;23527;28244;28841;29717;31908	3905;16638;16639;16640;16641;23983;23984;28913;28914;39974;41516;45230;48639;48640;48641;48642;48643;52411;58776;58777;61362;74064;74065;74066;74067;74068;74069;75762;78249;78250;84536;84537	4592;18941;18942;18943;18944;27175;27176;33209;33210;45595;47299;51458;51459;55314;55315;55316;55317;55318;59457;66420;66421;69387;83739;83740;83741;83742;83743;83744;85700;88600;88601;95870;95871	4592;18943;27175;33210;45595;47299;51458;55316;59457;66421;69387;83742;85700;88600;95871	907	380
YJL191W	YJL191W	6	1	1	>YJL191W pep:known chromosome:R64-1-1:X:73787:74611:1 gene:YJL191W transcript:YJL191W description:Ribosomal protein 59 of the small subunit, required for ribosome assembly and 20S pre-rRNA processing\x3b mutations confer cryptopleurine resistance\x3b near	1	6	1	1	6	1	1	65.2	26.1	26.1	14.65	138	138	1	2								0	33.977	65.2	433370000	433370000	2				1886	242;1196;6133;6276;11902;27879	False;True;False;False;False;False	262;263;1280;6426;6427;6575;12444;29315	800;801;802;803;804;805;806;807;808;809;810;811;3809;3810;17160;17161;17162;17163;17164;17165;17166;17167;17168;17169;17170;17171;17172;17173;17174;17175;17176;17177;17564;17565;17566;17567;17568;17569;17570;17571;17572;17573;17574;17575;17576;33532;33533;33534;33535;33536;33537;77062;77063	1070;1071;1072;1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1083;1084;4475;4476;19503;19504;19505;19506;19507;19508;19509;19510;19511;19512;19513;19514;19515;19516;19517;19518;19519;19520;19521;19522;19523;19524;19525;19526;19527;19980;19981;19982;19983;19984;19985;19986;19987;19988;19989;19990;19991;19992;19993;19994;38370;38371;38372;38373;38374;38375;38376;87244;87245	1082;4475;19520;19988;38372;87244	201;202	47;62
YJL192C	YJL192C	4	4	4	>YJL192C pep:known chromosome:R64-1-1:X:72710:73414:-1 gene:YJL192C transcript:YJL192C description:ER-membrane protein\x3b suppressor of pma1-7, deletion of SOP4 slows down the export of wild-type Pma1p and Pma1-7 from the ER	1	4	4	4	4	4	4	18.8	18.8	18.8	26.597	234	234	3.67			2	4					0	5.675	18.8	297140000	297140000	6				1887	3040;14267;18227;27651	True;True;True;True	3207;14891;19193;29077	9110;39975;50734;50735;50736;76358	10459;45596;57583;57584;57585;86345	10459;45596;57584;86345		
YJL197W	YJL197W	12	12	12	>YJL197W pep:known chromosome:R64-1-1:X:63805:67569:1 gene:YJL197W transcript:YJL197W description:Ubiquitin carboxyl-terminal hydrolase, ubiquitin-specific protease present in the nucleus and cytoplasm that cleaves ubiquitin from ubiquitinated proteins	1	12	12	12	12	12	12	13.2	13.2	13.2	143.19	1254	1254	7.06						1	13	2	0	48.303	13.2	758130000	758130000	16				1888	206;1720;2531;2979;4360;6512;12618;15343;15996;20134;23825;30129	True;True;True;True;True;True;True;True;True;True;True;True	222;1838;2681;3142;4580;6818;13188;16014;16705;21194;25045;31671	703;5531;5532;5533;7804;8935;12455;18206;35720;42913;44715;44716;55489;65502;83894;83895	960;6412;6413;6414;9022;10275;14232;20674;40908;48838;50900;50901;62865;74129;95093;95094	960;6413;9022;10275;14232;20674;40908;48838;50900;62865;74129;95093		
YJL198W	YJL198W	5	5	4	>YJL198W pep:known chromosome:R64-1-1:X:60844:63489:1 gene:YJL198W transcript:YJL198W description:Low-affinity phosphate transporter\x3b deletion of pho84, pho87, pho89, pho90, and pho91 causes synthetic lethality\x3b transcription independent of Pi and P	1	5	5	4	5	5	4	6.9	6.9	6	97.687	881	881	6.2						4	1		0	12.553	6.9	304720000	304720000	4				1889	3346;7757;17653;24433;30055	True;True;True;True;True	3529;8114;18554;25673;31595	9856;21716;49247;66953;83730	11301;24721;55968;75740;94925	11301;24721;55968;75740;94925		
YJL200C	YJL200C	22	20	20	>YJL200C pep:known chromosome:R64-1-1:X:56444:58813:-1 gene:YJL200C transcript:YJL200C description:Putative mitochondrial aconitase isozyme\x3b similarity to Aco1p, an aconitase required for the TCA cycle\x3b expression induced during growth on glucose, b	1	22	20	20	22	20	20	42.7	41.3	41.3	86.582	789	789	5.58		1	5	1	3	23	7		0	323.31	42.7	4772300000	4772300000	40				1890	565;2016;3246;3516;7334;7494;7927;8421;11515;13514;15527;15683;20032;20148;21256;22459;22719;22967;22968;27721;27896;28547	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;False;True;True;True	600;2145;3419;3707;7676;7839;8288;8802;12033;14108;16211;16381;21089;21208;22357;23610;23881;24146;24147;29149;29332;30010	1857;1858;1859;1860;1861;1862;6514;9588;9589;10220;20584;20585;20586;20987;22159;23496;23497;23498;23499;32611;32612;32613;37989;43423;43806;55254;55513;55514;55515;55516;58299;58300;58301;58302;61574;62370;63057;63058;63059;63060;63061;63062;63063;63064;63065;63066;63067;63068;63069;63070;63071;63072;63073;63074;63075;63076;76588;77116;77117;79131	2321;2322;2323;2324;2325;2326;7602;10991;10992;11685;23386;23387;23388;23884;25187;26636;26637;26638;26639;37361;37362;37363;43451;49416;49824;62606;62889;62890;62891;62892;65879;65880;65881;65882;69623;70552;71304;71305;71306;71307;71308;71309;71310;71311;71312;71313;71314;71315;71316;71317;71318;71319;71320;71321;71322;71323;71324;71325;71326;71327;71328;86619;87306;87307;89643	2321;7602;10992;11685;23387;23884;25187;26637;37362;43451;49416;49824;62606;62892;65881;69623;70552;71315;71327;86619;87306;89643	908	650
YJL201W	YJL201W	4	4	4	>YJL201W pep:known chromosome:R64-1-1:X:54379:56178:1 gene:YJL201W transcript:YJL201W description:Non-essential protein of unknown function\x3b promoter contains a consensus binding sequence for factor Abf1p	1	4	4	4	4	4	4	5.8	5.8	5.8	68.463	599	599	6					1	4	1		0	4.9451	5.8	200840000	200840000	6				1891	1102;7755;9531;18703	True;True;True;True	1175;8112;9984;19687	3507;21714;27027;27028;27029;51898	4126;24719;30995;30996;30997;58845	4126;24719;30996;58845		
YJL203W	YJL203W	10	10	10	>YJL203W pep:known chromosome:R64-1-1:X:53341:54183:1 gene:YJL203W transcript:YJL203W description:Subunit of the SF3a splicing factor complex, required for spliceosome assembly	1	10	10	10	10	10	10	35	35	35	33.052	280	280	2.91		1	10						0	16.651	35	378510000	378510000	10				1892	2530;2748;11903;12730;14566;15243;16591;22412;25475;26737	True;True;True;True;True;True;True;True;True;True	2680;2903;12445;13303;15199;15911;17323;23561;26771;28112	7803;8298;33538;33539;36086;40636;42613;46351;61459;69955;73652	9021;9550;38377;38378;41339;46316;48518;52733;69500;79093;83255	9021;9550;38378;41339;46316;48518;52733;69500;79093;83255		
YJL204C	YJL204C	6	6	6	>YJL204C pep:known chromosome:R64-1-1:X:50629:53151:-1 gene:YJL204C transcript:YJL204C description:F-box protein involved in recycling plasma membrane proteins internalized by endocytosis\x3b localized to sites of polarized growth	1	6	6	6	6	6	6	6.5	6.5	6.5	97.47	840	840	5.43	1					5	1		0	24.216	6.5	239510000	239510000	7				1893	2686;7637;11339;15094;16132;30098	True;True;True;True;True;True	2837;7988;11855;15755;16844;31639	8133;8134;21405;32184;42259;45025;83822	9375;9376;24362;36900;48150;51229;95018	9375;24362;36900;48150;51229;95018		
YJL207C	YJL207C	16	16	16	>YJL207C pep:known chromosome:R64-1-1:X:41389:47433:-1 gene:YJL207C transcript:YJL207C description:AP-1 accessory protein\x3b colocalizes with clathrin to the late-Golgi apparatus\x3b involved in TGN-endosome transport\x3b physically interacts with AP-1\x	1	16	16	16	16	16	16	8.4	8.4	8.4	229.9	2014	2014	7.28						2	14	9	0	44.149	8.4	498510000	498510000	23				1894	732;1152;2273;4218;6324;7264;9868;10500;11250;12136;20778;24159;26791;29865;30062;30118	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	781;1233;2416;4432;6624;7597;10335;10996;11762;12690;21859;25394;28170;31402;31602;31659	2345;2346;3704;7231;12019;12020;17694;17695;20389;28136;29946;29947;31906;31907;34314;57078;57079;57080;66266;73830;83211;83738;83739;83740;83875	2846;2847;4366;8406;13717;13718;20116;20117;23171;32342;34446;34447;36604;36605;39303;64563;64564;64565;74950;83460;94361;94933;94934;94935;95073	2847;4366;8406;13718;20116;23171;32342;34447;36605;39303;64563;74950;83460;94361;94934;95073		
YJL212C	YJL212C	3	3	3	>YJL212C pep:known chromosome:R64-1-1:X:33850:36249:-1 gene:YJL212C transcript:YJL212C description:Proton-coupled oligopeptide transporter of the plasma membrane\x3b also transports glutathione and phytochelatin\x3b member of the OPT family	1	3	3	3	3	3	3	4.4	4.4	4.4	91.614	799	799	6.25						3	1		0	9.2996	4.4	106820000	106820000	4				1895	6708;11373;22289	True;True;True	7021;11889;23433	18833;18834;32271;61146	21460;21461;36998;69149	21460;36998;69149		
YJL217W	YJL217W	6	6	6	>YJL217W pep:known chromosome:R64-1-1:X:23133:23729:1 gene:YJL217W transcript:YJL217W description:Cytoplasmic protein involved in the regulation of enolase (ENO1)\x3b mRNA expression is induced by calcium shortage, copper deficiency (via Mac1p) and the pr	1	6	6	6	6	6	6	39.9	39.9	39.9	21.966	198	198	2	6	3						1	0	67.194	39.9	707840000	707840000	10				1896	9326;9327;19370;24808;26935;28738	True;True;True;True;True;True	9763;9764;20387;26066;28320;30207	26396;26397;26398;53559;67997;67998;74311;74312;74313;79691	30266;30267;30268;60744;76914;76915;84025;84026;84027;90327	30266;30268;60744;76914;84025;90327		
YJL218W	YJL218W	2	2	2	>YJL218W pep:known chromosome:R64-1-1:X:21973:22563:1 gene:YJL218W transcript:YJL218W description:Putative protein of unknown function, similar to bacterial galactoside O-acetyltransferases\x3b induced by oleate in an OAF1/PIP2-dependent manner\x3b promot	1	2	2	2	2	2	2	20.9	20.9	20.9	21.479	196	196	1	2								0	30.724	20.9	74611000	74611000	2				1897	14837;19349	True;True	15485;20366	41488;53524	47268;60707	47268;60707		
YJR001W	YJR001W	2	2	2	>YJR001W pep:known chromosome:R64-1-1:X:436802:438610:1 gene:YJR001W transcript:YJR001W description:Vacuolar transporter, imports large neutral amino acids into the vacuole\x3b member of a family of seven S. cerevisiae genes (AVT1-7) related to vesicular 	1	2	2	2	2	2	2	3	3	3	65.345	602	602	3.75			2	1	1				0.00093023	3.0185	3	30072000	30072000	4				1898	19526;25265	True;True	20552;26550	53988;69371;69372;69373	61222;78446;78447;78448	61222;78446		
